Feature,Importance
perimeter_worst,0.18305901619764162
concave points_worst,0.10363547570246957
radius_worst,0.10321153624121633
concave points_mean,0.08896706309268419
area_worst,0.08074149650077204
perimeter_mean,0.060832886651258626
concavity_mean,0.05570791870641754
area_mean,0.054680124768888005
radius_mean,0.03834743655629405
area_se,0.03535051953807701
radius_se,0.02179366082514689
concavity_worst,0.021699797617626092
texture_mean,0.016274267607481754
smoothness_worst,0.01627103677281837
perimeter_se,0.015989027150758648
texture_worst,0.01586012108133414
symmetry_worst,0.015559622414528382
fractal_dimension_worst,0.008525475670580691
compactness_worst,0.007983005589479984
smoothness_mean,0.007057538954895856
texture_se,0.006687359363827777
fractal_dimension_se,0.00560484790622076
symmetry_se,0.005543236461975934
compactness_se,0.005350035945176586
compactness_mean,0.0050508143001721
concavity_se,0.004797020334231652
concave points_se,0.004385786209277603
symmetry_mean,0.004267564089580339
smoothness_se,0.0036873074961542626
fractal_dimension_mean,0.0030790002530133027
